OBJECTID,S_ID,TAGID,CNAME1,CNAME2,CNAME3,GENUS,SPECIES,CULTIVAR,DIAMETER,HEIGHT,CRADAVG,TRUNKHEIGHT,Lat,Long
10547,1954,0,Viburnum,Leatherleaf, ,Viburnum,rhytidophyllum, ,0.000000000000000,6.000000000000000,3.000000000000000,1,38.982873903448358,-76.931885193862200
10548,13838,0,Serviceberry,Species, ,Amelanchier,sp., ,0.000000000000000,8.000000000000000,0.000000000000000,0,38.994874890672939,-76.942098518985730
10549,14316,0,Crapemyrtle,Species, ,Lagerstroemia,sp., ,0.000000000000000,0.000000000000000,0.000000000000000,0,38.985633225740585,-76.954850519121038
10550,12542,0,Crapemyrtle,Hybrid,Natchez,Lagerstroemia,x,Natchez,0.000000000000000,12.500000000000000,5.000000000000000,3,38.989113252586890,-76.951481077606701
10551,2986,0,Yew,English,Spreading,Taxus,baccata,Repandens,0.000000000000000,0.000000000000000,0.000000000000000,0,38.992191262064949,-76.949670527351728
10552,4260,0,Yew,English, ,Taxus,baccata, ,0.000000000000000,3.500000000000000,2.000000000000000,0,38.991013150720377,-76.949853658155391
10553,5357,0,Rose,Knock Out Hybrid,Bush,Rosa,x,Radrazz,0.000000000000000,2.500000000000000,1.000000000000000,0,38.992083293316973,-76.949823490798209
10554,5593,0,Rose,Knock Out Hybrid,Bush,Rosa,x,Radrazz,0.000000000000000,2.500000000000000,1.000000000000000,0,38.992118387727317,-76.949303841743145
10555,5609,0,Rose,Knock Out Hybrid,Bush,Rosa,x,Radrazz,0.000000000000000,2.500000000000000,1.000000000000000,0,38.992086347661015,-76.949471112491096
10556,10870,0,Magnolia,Sweetbay, ,Magnolia,virginiana, ,4.100000000000000,9.800000000000001,2.600000000000000,1,38.994050482538661,-76.949595577288306
10557,10728,0,Magnolia,Star, ,Magnolia,stellata, ,0.000000000000000,7.000000000000000,2.500000000000000,0,38.988903122627498,-76.952735190673053
10558,5036,0,Viburnum,Cranberrybush, ,Viburnum,opulus, ,0.000000000000000,0.000000000000000,0.000000000000000,0,38.989865428403995,-76.950088411881850
10559,11004,0,Magnolia,Saucer, ,Magnolia,x soulangeana, ,10.199999999999999,10.000000000000000,3.900000000000000,4,38.981173475475494,-76.939728979701357
10560,11271,0,Magnolia,Star, ,Magnolia,stellata, ,7.900000000000000,9.900000000000000,3.800000000000000,1,38.986903828410867,-76.952129000566416
10561,3646,0,Azalea,Hybrid,Delaware Valley White,Rhododendron,x,Delaware Valley White,0.000000000000000,2.000000000000000,3.000000000000000,0,38.990950821320304,-76.949885566240567
